city,country,year,elec_pc,industry_va,fdi_pct,ntl_calibrated,ntl_log,ntl_source,ntl_raw,ndvi,gdp_pc,city_pop_th,pop_src,urban_pct,oil_price,env_exp_pct_gdp,ndvi_harvard_2010,ndvi_harvard_2015,ndvi_harvard_2020,ndvi_harvard_2021
Abu Dhabi,ARE,2000,10724.5443421137,48.5170116316395,-0.485281532912816,6.2048629728005125,1.9747562109223362,DMSP_calibrated,27.30013935717826,0.0614743066503223,56939.2701807931,273.702,UN WUP 2025,79.287092479995,28.845274962356484,,,,,
Abu Dhabi,ARE,2001,10875.2574800126,49.6763412859899,1.14589216998935,6.990133465556504,2.078207463713328,DMSP_calibrated,27.82071300956277,0.0643648577568741,54169.4153530236,295.447,UN WUP 2025,79.7469002624215,24.71376279095301,,,,,
Abu Dhabi,ARE,2002,11107.3875879303,47.5457475824448,0.0867813662286139,7.510005036700655,2.1412425344418238,DMSP_calibrated,28.16534768647718,0.0671270119184502,52216.8753217152,317.193,UN WUP 2025,80.2705602850306,25.115095975280756,,,,,
Abu Dhabi,ARE,2003,11063.4408414922,49.1210129154604,3.42266271097113,7.576026811244219,2.1489707306346855,DMSP_calibrated,28.20911502095377,0.0643296222358719,53619.1925678774,338.938,UN WUP 2025,80.8489432668434,28.779102719744028,,,,,
Abu Dhabi,ARE,2004,11101.0084292793,51.6783480847693,6.76715211324682,5.277998315373303,1.837051190081609,DMSP_calibrated,26.685699715762976,0.0671241983436071,55611.419401142,360.684,UN WUP 2025,81.4729199268812,38.233580447330446,,,,,
Abu Dhabi,ARE,2005,12205.0510312361,55.6434763024807,6.03481604123485,4.1827344775398885,1.6453328084027008,DMSP_calibrated,25.95962443132875,0.0661747179954185,55363.5661047143,382.429,UN WUP 2025,82.2122832763517,54.683847606499775,,,,,
Abu Dhabi,ARE,2006,12502.6451857619,57.903111718071,5.76543753223521,7.488588504784985,2.1387227326481937,DMSP_calibrated,28.15115018084874,0.0706554067382856,56629.9761392644,496.251,UN WUP 2025,82.5588968646829,65.60474310653116,,,,,
Abu Dhabi,ARE,2007,13134.3633853575,54.840228590251,5.50043971722883,8.5196665799294,2.2533598250732907,DMSP_calibrated,28.83467526478221,0.0650042583157993,52038.6159567932,610.073,UN WUP 2025,82.758608500318,72.65280584572433,,,,,
Abu Dhabi,ARE,2008,11974.777649578,58.0179784435584,1.60487460715228,11.39460851671911,2.517261581020569,DMSP_calibrated,30.74053959845335,0.0591302138490777,47922.6988207823,723.895,UN WUP 2025,82.9658963549658,97.3301517582659,,,,,
Abu Dhabi,ARE,2009,11984.8374652493,52.044956000368,0.447367365845778,10.667788007720546,2.4568318831500338,DMSP_calibrated,30.25871376838881,0.0635894746865016,42672.1987890808,837.717,UN WUP 2025,83.1701992996163,61.58104957180501,,,,,
Abu Dhabi,ARE,2010,12827.3767154335,50.2592548678862,2.85854032456409,20.25892784631632,3.0567769410831693,DMSP_calibrated,36.61689829508004,0.0651211553936169,42328.8508165469,951.539,UN WUP 2025,83.3714299144178,79.80700834431269,,0.059600409,,,
Abu Dhabi,ARE,2011,13085.7207041471,55.7510208781767,1.938861867408,16.394798008212796,2.8561711964762835,DMSP_calibrated,34.05527882552669,0.0703157822800523,43687.7782783233,946.107,UN WUP 2025,83.5695007795347,111.53922643359057,,,,,
Abu Dhabi,ARE,2012,13475.0322264325,55.356407543947,2.43554239157448,20.90127558126185,3.0865448808459583,DMSP_calibrated,37.04272520385378,0.0678221301420081,43958.5681120856,940.675,UN WUP 2025,83.7643244751488,112.01167269747162,,,,,
Abu Dhabi,ARE,2013,13409.1491377066,52.9894122214127,2.38382217021709,22.91002006455201,3.1742976206397686,VIIRS,22.91002006455201,0.0730455691060005,44312.6337162614,935.244,UN WUP 2025,83.9558135814626,108.96172547681785,,,,,
Abu Dhabi,ARE,2014,13560.3714401993,50.7402069875437,2.60546065371654,23.038222789978946,3.1796451797287215,VIIRS,23.038222789978946,0.0775928809851875,44257.6514761082,929.812,UN WUP 2025,84.1438806787019,99.3454458011795,,,,,
Abu Dhabi,ARE,2015,14046.2870111674,42.1588028480264,2.23861395699196,22.79866634657428,3.169629543249138,VIIRS,22.79866634657428,0.0755232032664413,44910.334995523,924.38,UN WUP 2025,84.3284383471193,53.02271240353849,0.594562660892445,,0.09454789,,
Abu Dhabi,ARE,2016,13705.6181271716,39.8749229592768,2.51620200951453,22.13035741140895,3.1411459284114227,VIIRS,22.13035741140895,0.079370140855933,45168.4982473243,895.429,UN WUP 2025,84.5093991669984,45.07907624380451,0.792989259562419,,,,
Abu Dhabi,ARE,2017,13672.1157729536,41.4122717128473,2.56696112401594,20.76979383433844,3.0805234050288273,VIIRS,20.76979383433844,0.0786634804565694,43293.0203824801,866.477,UN WUP 2025,84.686675718659,54.88691608632913,0.546015589193214,,,,
Abu Dhabi,ARE,2018,13702.8027322154,45.7439845434706,2.35729150002132,21.979627811319908,3.134608076089272,VIIRS,21.979627811319908,0.0803044769420911,43377.7858697225,837.526,UN WUP 2025,84.8601805824625,71.61259298732669,0.51203882923271,,,,
Abu Dhabi,ARE,2019,13914.1426572805,43.4669683746299,4.11928564301823,22.92951990771301,3.175112839358521,VIIRS,22.92951990771301,0.0839776250286631,43468.4586811918,808.574,UN WUP 2025,85.0298263388195,64.19847398676204,0.556790958635682,,,,
Abu Dhabi,ARE,2020,13855.0657916711,40.3215883178557,5.56735507865122,21.659626417680883,3.120584769042108,VIIRS,21.659626417680883,0.0875668275358274,39878.474427695,779.623,UN WUP 2025,85.1955255681984,43.333842822636306,0.53479449440566,,,0.097716329,
Abu Dhabi,ARE,2021,14828.6941032372,45.3811872508727,4.89230472033291,22.214781892123053,3.1447892263005937,VIIRS,22.214781892123053,0.0845351071073981,40935.8936567784,826.99,UN WUP 2025,85.3571908511355,70.83149958435284,0.48112243710827,,,,0.094218862
Abu Dhabi,ARE,2022,14687.9739775088,49.3332992568668,4.44591399207935,22.77746456187396,3.1687382649674034,VIIRS,22.77746456187396,0.0854709776677399,41828.5553298104,874.358,UN WUP 2025,85.5147347682487,98.99632757701237,0.434443466470685,,,,
Abu Dhabi,ARE,2023,15284.7010578561,45.4007387994769,5.87184069440898,23.97122066370014,3.217723988307097,VIIRS,23.97122066370014,0.0964345091231755,41926.5823645673,921.725,UN WUP 2025,85.6680699002526,82.32124302810716,,,,,
Ajman,ARE,2000,10724.5443421137,48.5170116316395,-0.485281532912816,18.061652916054086,2.947678616189664,DMSP_calibrated,35.16027481783072,0.1046598519515715,56939.2701807931,206.997,citypopulation.de,79.287092479995,28.845274962356484,,,,,
Ajman,ARE,2001,10875.2574800126,49.6763412859899,1.14589216998935,19.05254754597339,2.9983562053307304,DMSP_calibrated,35.81716138288541,0.1080678774673069,54169.4153530236,206.997,citypopulation.de,79.7469002624215,24.71376279095301,,,,,
Ajman,ARE,2002,11107.3875879303,47.5457475824448,0.0867813662286139,19.056333354148823,2.9985449818860324,DMSP_calibrated,35.819671081145174,0.10718732876286,52216.8753217152,206.997,citypopulation.de,80.2705602850306,25.115095975280756,,,,,
Ajman,ARE,2003,11063.4408414922,49.1210129154604,3.42266271097113,19.21021601638781,3.006188219947611,DMSP_calibrated,35.92168339443006,0.1064961763256781,53619.1925678774,206.997,citypopulation.de,80.8489432668434,28.779102719744028,,,,,
Ajman,ARE,2004,11101.0084292793,51.6783480847693,6.76715211324682,17.49863619833777,2.9176970103581303,DMSP_calibrated,34.787038242919465,0.1061149666385792,55611.419401142,206.997,citypopulation.de,81.4729199268812,38.233580447330446,,,,,
